uniqid,zip,from.year,from.month,from.day,to.year,to.month,to.day
368,12089,2020,3,23,2020,5,24
369,12091,2020,3,23,2020,5,24
370,12093,2020,3,23,2020,5,24
371,12095,2020,3,23,2020,5,24
372,12097,2020,3,23,2020,5,24
373,12099,2020,3,23,2020,5,24
374,12101,2020,3,23,2020,5,24
375,12103,2020,3,23,2020,5,24
376,12105,2020,3,23,2020,5,24
377,12107,2020,3,23,2020,5,24
378,12109,2020,3,23,2020,5,24
379,12111,2020,3,23,2020,5,24
380,12113,2020,3,23,2020,5,24
381,12115,2020,3,23,2020,5,24
382,12117,2020,3,23,2020,5,24
383,12119,2020,3,23,2020,5,24
384,12121,2020,3,23,2020,5,24
385,12123,2020,3,23,2020,5,24
386,12125,2020,3,23,2020,5,24
387,12127,2020,3,23,2020,5,24
388,12129,2020,3,23,2020,5,24
389,12131,2020,3,23,2020,5,24
390,12133,2020,3,23,2020,5,24
391,13001,2020,3,23,2020,5,24
392,13003,2020,3,23,2020,5,24
393,13005,2020,3,23,2020,5,24
394,13007,2020,3,23,2020,5,24
395,13009,2020,3,23,2020,5,24
396,13011,2020,3,23,2020,5,24
397,13013,2020,3,23,2020,5,24
398,13015,2020,3,23,2020,5,24
399,13017,2020,3,23,2020,5,24
400,13019,2020,3,23,2020,5,24
401,13021,2020,3,23,2020,5,24
402,13023,2020,3,23,2020,5,24
403,13025,2020,3,23,2020,5,24
404,13027,2020,3,23,2020,5,24
405,13029,2020,3,23,2020,5,24
406,13031,2020,3,23,2020,5,24
407,13033,2020,3,23,2020,5,24
408,13035,2020,3,23,2020,5,24
409,13037,2020,3,23,2020,5,24
410,13039,2020,3,23,2020,5,24
411,13043,2020,3,23,2020,5,24
412,13045,2020,3,23,2020,5,24
413,13047,2020,3,23,2020,5,24
414,13049,2020,3,23,2020,5,24
415,13051,2020,3,23,2020,5,24
416,13053,2020,3,23,2020,5,24
417,13055,2020,3,23,2020,5,24
418,13057,2020,3,23,2020,5,24
419,13059,2020,3,23,2020,5,24
420,13061,2020,3,23,2020,5,24
421,13063,2020,3,23,2020,5,24
422,13065,2020,3,23,2020,5,24
423,13067,2020,3,23,2020,5,24
424,13069,2020,3,23,2020,5,24
425,13071,2020,3,23,2020,5,24
426,13073,2020,3,23,2020,5,24
427,13075,2020,3,23,2020,5,24
428,13077,2020,3,23,2020,5,24
429,13079,2020,3,23,2020,5,24
430,13081,2020,3,23,2020,5,24
431,13083,2020,3,23,2020,5,24
432,13085,2020,3,23,2020,5,24
433,13087,2020,3,23,2020,5,24
434,13089,2020,3,23,2020,5,24
435,13091,2020,3,23,2020,5,24
436,13093,2020,3,23,2020,5,24
437,13095,2020,3,23,2020,5,24
438,13097,2020,3,23,2020,5,24
439,13099,2020,3,23,2020,5,24
440,13101,2020,3,23,2020,5,24
441,13103,2020,3,23,2020,5,24
442,13105,2020,3,23,2020,5,24
443,13107,2020,3,23,2020,5,24
444,13109,2020,3,23,2020,5,24
445,13111,2020,3,23,2020,5,24
446,13113,2020,3,23,2020,5,24
447,13115,2020,3,23,2020,5,24
448,13117,2020,3,23,2020,5,24
449,13119,2020,3,23,2020,5,24
450,13121,2020,3,23,2020,5,24
451,13123,2020,3,23,2020,5,24
452,13125,2020,3,23,2020,5,24
453,13127,2020,3,23,2020,5,24
454,13129,2020,3,23,2020,5,24
455,13131,2020,3,23,2020,5,24
456,13133,2020,3,23,2020,5,24
457,13135,2020,3,23,2020,5,24
458,13137,2020,3,23,2020,5,24
459,13139,2020,3,23,2020,5,24
460,13141,2020,3,23,2020,5,24
461,13143,2020,3,23,2020,5,24
462,13145,2020,3,23,2020,5,24
463,13147,2020,3,23,2020,5,24
464,13149,2020,3,23,2020,5,24
465,13151,2020,3,23,2020,5,24
466,13153,2020,3,23,2020,5,24
467,13155,2020,3,23,2020,5,24
468,13157,2020,3,23,2020,5,24
469,13159,2020,3,23,2020,5,24
470,13161,2020,3,23,2020,5,24
471,13163,2020,3,23,2020,5,24
472,13165,2020,3,23,2020,5,24
473,13167,2020,3,23,2020,5,24
474,13169,2020,3,23,2020,5,24
475,13171,2020,3,23,2020,5,24
476,13173,2020,3,23,2020,5,24
477,13175,2020,3,23,2020,5,24
478,13177,2020,3,23,2020,5,24
479,13179,2020,3,23,2020,5,24
480,13181,2020,3,23,2020,5,24
481,13183,2020,3,23,2020,5,24
482,13185,2020,3,23,2020,5,24
483,13187,2020,3,23,2020,5,24
484,13189,2020,3,23,2020,5,24
485,13191,2020,3,23,2020,5,24
486,13193,2020,3,23,2020,5,24
487,13195,2020,3,23,2020,5,24
488,13197,2020,3,23,2020,5,24
489,13199,2020,3,23,2020,5,24
490,13201,2020,3,23,2020,5,24
491,13205,2020,3,23,2020,5,24
492,13207,2020,3,23,2020,5,24
493,13209,2020,3,23,2020,5,24
494,13211,2020,3,23,2020,5,24
495,13213,2020,3,23,2020,5,24
496,13215,2020,3,23,2020,5,24
497,13217,2020,3,23,2020,5,24
498,13219,2020,3,23,2020,5,24
499,13221,2020,3,23,2020,5,24
500,13223,2020,3,23,2020,5,24
501,13225,2020,3,23,2020,5,24
502,13227,2020,3,23,2020,5,24
503,13229,2020,3,23,2020,5,24
504,13231,2020,3,23,2020,5,24
505,13233,2020,3,23,2020,5,24
506,13235,2020,3,23,2020,5,24
507,13237,2020,3,23,2020,5,24
508,13239,2020,3,23,2020,5,24
509,13241,2020,3,23,2020,5,24
510,13243,2020,3,23,2020,5,24
511,13245,2020,3,23,2020,5,24
512,13247,2020,3,23,2020,5,24
513,13249,2020,3,23,2020,5,24
514,13251,2020,3,23,2020,5,24
515,13253,2020,3,23,2020,5,24
516,13255,2020,3,23,2020,5,24
517,13257,2020,3,23,2020,5,24
518,13259,2020,3,23,2020,5,24
519,13261,2020,3,23,2020,5,24
520,13263,2020,3,23,2020,5,24
521,13265,2020,3,23,2020,5,24
522,13267,2020,3,23,2020,5,24
523,13269,2020,3,23,2020,5,24
524,13271,2020,3,23,2020,5,24
525,13273,2020,3,23,2020,5,24
526,13275,2020,3,23,2020,5,24
527,13277,2020,3,23,2020,5,24
528,13279,2020,3,23,2020,5,24
529,13281,2020,3,23,2020,5,24
530,13283,2020,3,23,2020,5,24
531,13285,2020,3,23,2020,5,24
532,13287,2020,3,23,2020,5,24
533,13289,2020,3,23,2020,5,24
534,13291,2020,3,23,2020,5,24
535,13293,2020,3,23,2020,5,24
536,13295,2020,3,23,2020,5,24
537,13297,2020,3,23,2020,5,24
538,13299,2020,3,23,2020,5,24
539,13301,2020,3,23,2020,5,24
540,13303,2020,3,23,2020,5,24
541,13305,2020,3,23,2020,5,24
542,13307,2020,3,23,2020,5,24
543,13309,2020,3,23,2020,5,24
544,13311,2020,3,23,2020,5,24
545,13313,2020,3,23,2020,5,24
546,13315,2020,3,23,2020,5,24
547,13317,2020,3,23,2020,5,24
548,13319,2020,3,23,2020,5,24
549,13321,2020,3,23,2020,5,24
550,15001,2020,3,23,2020,5,24
551,15003,2020,3,23,2020,5,24
552,15005,2020,3,23,2020,5,24
553,15007,2020,3,23,2020,5,24
554,15009,2020,3,23,2020,5,24
555,16001,2020,3,23,2020,5,24
556,16003,2020,3,23,2020,5,24
557,16005,2020,3,23,2020,5,24
558,16007,2020,3,23,2020,5,24
559,16009,2020,3,23,2020,5,24
560,16011,2020,3,23,2020,5,24
561,16013,2020,3,23,2020,5,24
562,16015,2020,3,23,2020,5,24
563,16017,2020,3,23,2020,5,24
564,16019,2020,3,23,2020,5,24
565,16021,2020,3,23,2020,5,24
566,16023,2020,3,23,2020,5,24
567,16025,2020,3,23,2020,5,24
568,16027,2020,3,23,2020,5,24
569,16029,2020,3,23,2020,5,24
570,16031,2020,3,23,2020,5,24
571,16033,2020,3,23,2020,5,24
572,16035,2020,3,23,2020,5,24
573,16037,2020,3,23,2020,5,24
574,16039,2020,3,23,2020,5,24
575,16041,2020,3,23,2020,5,24
576,16043,2020,3,23,2020,5,24
577,16045,2020,3,23,2020,5,24
578,16047,2020,3,23,2020,5,24
579,16049,2020,3,23,2020,5,24
580,16051,2020,3,23,2020,5,24
581,16053,2020,3,23,2020,5,24
582,16055,2020,3,23,2020,5,24
583,16057,2020,3,23,2020,5,24
584,16059,2020,3,23,2020,5,24
585,16061,2020,3,23,2020,5,24
586,16063,2020,3,23,2020,5,24
587,16065,2020,3,23,2020,5,24
588,16067,2020,3,23,2020,5,24
589,16069,2020,3,23,2020,5,24
590,16071,2020,3,23,2020,5,24
591,16073,2020,3,23,2020,5,24
592,16075,2020,3,23,2020,5,24
593,16077,2020,3,23,2020,5,24
594,16079,2020,3,23,2020,5,24
595,16081,2020,3,23,2020,5,24
596,16083,2020,3,23,2020,5,24
597,16085,2020,3,23,2020,5,24
598,16087,2020,3,23,2020,5,24
599,17001,2020,3,23,2020,5,24
600,17003,2020,3,23,2020,5,24
601,17005,2020,3,23,2020,5,24
602,17007,2020,3,23,2020,5,24
603,17009,2020,3,23,2020,5,24
604,17011,2020,3,23,2020,5,24
605,17013,2020,3,23,2020,5,24
606,17015,2020,3,23,2020,5,24
607,17017,2020,3,23,2020,5,24
608,17019,2020,3,23,2020,5,24
609,17021,2020,3,23,2020,5,24
610,17023,2020,3,23,2020,5,24
611,17025,2020,3,23,2020,5,24
612,17027,2020,3,23,2020,5,24
613,17029,2020,3,23,2020,5,24
614,17031,2020,3,23,2020,5,24
615,17033,2020,3,23,2020,5,24
616,17035,2020,3,23,2020,5,24
617,17037,2020,3,23,2020,5,24
