,date,Province_State,Confirmed,Deaths,Recovered,Active
1207,2020-04-01,New York,83948,1941.0,0.0,82007.0
1208,2020-04-01,North Carolina,1675,14.0,0.0,1661.0
1209,2020-04-01,North Dakota,142,3.0,0.0,139.0
1210,2020-04-01,Northern Mariana Islands,6,1.0,0.0,5.0
1211,2020-04-01,Ohio,2547,65.0,0.0,2482.0
1212,2020-04-01,Oklahoma,721,30.0,0.0,691.0
1213,2020-04-01,Oregon,736,19.0,0.0,717.0
1214,2020-04-01,Pennsylvania,6009,74.0,0.0,5935.0
1215,2020-04-01,Puerto Rico,286,11.0,0.0,275.0
1216,2020-04-01,Recovered,0,0.0,8474.0,-8474.0
1217,2020-04-01,Rhode Island,566,10.0,0.0,556.0
1218,2020-04-01,South Carolina,1293,26.0,0.0,1267.0
1219,2020-04-01,South Dakota,129,2.0,0.0,127.0
1220,2020-04-01,Tennessee,2933,24.0,0.0,2909.0
1221,2020-04-01,Texas,4355,66.0,0.0,4289.0
1222,2020-04-01,Utah,888,5.0,0.0,883.0
1223,2020-04-01,Vermont,321,16.0,0.0,305.0
1224,2020-04-01,Virgin Islands,30,0.0,0.0,30.0
1225,2020-04-01,Virginia,1483,34.0,0.0,1449.0
1226,2020-04-01,Washington,5608,234.0,0.0,5374.0
1227,2020-04-01,West Virginia,191,1.0,0.0,190.0
1228,2020-04-01,Wisconsin,1556,27.0,0.0,1529.0
1229,2020-04-01,Wyoming,130,0.0,0.0,130.0
1230,2020-04-02,Alabama,1233,32.0,0.0,1201.0
1231,2020-04-02,Alaska,143,3.0,0.0,140.0
1232,2020-04-02,Arizona,1715,32.0,0.0,1683.0
1233,2020-04-02,Arkansas,643,12.0,0.0,631.0
1234,2020-04-02,California,10773,238.0,0.0,10535.0
1235,2020-04-02,Colorado,3342,80.0,0.0,3262.0
1236,2020-04-02,Connecticut,3824,112.0,0.0,3712.0
1237,2020-04-02,Delaware,393,12.0,0.0,381.0
1238,2020-04-02,District of Columbia,653,12.0,0.0,641.0
1239,2020-04-02,Florida,9008,164.0,0.0,8844.0
1240,2020-04-02,Georgia,5348,163.0,0.0,5185.0
1241,2020-04-02,Grand Princess,103,3.0,0.0,100.0
1242,2020-04-02,Guam,82,3.0,0.0,79.0
1243,2020-04-02,Hawaii,256,1.0,0.0,255.0
1244,2020-04-02,Idaho,776,9.0,0.0,767.0
1245,2020-04-02,Illinois,7695,163.0,0.0,7532.0
1246,2020-04-02,Indiana,3038,78.0,0.0,2960.0
1247,2020-04-02,Iowa,614,11.0,0.0,603.0
1248,2020-04-02,Kansas,553,12.0,0.0,541.0
1249,2020-04-02,Kentucky,770,31.0,0.0,739.0
1250,2020-04-02,Louisiana,9149,310.0,0.0,8839.0
1251,2020-04-02,Maine,376,7.0,0.0,369.0
1252,2020-04-02,Maryland,2331,36.0,0.0,2295.0
1253,2020-04-02,Massachusetts,8966,154.0,0.0,8812.0
1254,2020-04-02,Michigan,10791,417.0,0.0,10374.0
1255,2020-04-02,Minnesota,742,18.0,0.0,724.0
1256,2020-04-02,Mississippi,1177,26.0,0.0,1151.0
1257,2020-04-02,Missouri,1857,22.0,0.0,1835.0
1258,2020-04-02,Montana,241,6.0,0.0,235.0
1259,2020-04-02,Nebraska,246,5.0,0.0,241.0
1260,2020-04-02,Nevada,1463,38.0,0.0,1425.0
1261,2020-04-02,New Hampshire,316,3.0,0.0,313.0
1262,2020-04-02,New Jersey,25590,537.0,0.0,25053.0
1263,2020-04-02,New Mexico,388,6.0,0.0,382.0
1264,2020-04-02,New York,92506,2373.0,0.0,90133.0
1265,2020-04-02,North Carolina,1977,21.0,0.0,1956.0
1266,2020-04-02,North Dakota,159,3.0,0.0,156.0
1267,2020-04-02,Northern Mariana Islands,6,1.0,0.0,5.0
1268,2020-04-02,Ohio,2901,81.0,0.0,2820.0
1269,2020-04-02,Oklahoma,881,34.0,0.0,847.0
1270,2020-04-02,Oregon,826,21.0,0.0,805.0
1271,2020-04-02,Pennsylvania,7268,90.0,0.0,7178.0
1272,2020-04-02,Puerto Rico,316,12.0,0.0,304.0
1273,2020-04-02,Recovered,0,0.0,9001.0,-9001.0
1274,2020-04-02,Rhode Island,645,12.0,0.0,633.0
1275,2020-04-02,South Carolina,1554,31.0,0.0,1523.0
1276,2020-04-02,South Dakota,165,2.0,0.0,163.0
1277,2020-04-02,Tennessee,3013,36.0,0.0,2977.0
1278,2020-04-02,Texas,5069,77.0,0.0,4992.0
1279,2020-04-02,Utah,1092,7.0,0.0,1085.0
1280,2020-04-02,Vermont,338,17.0,0.0,321.0
1281,2020-04-02,Virgin Islands,30,0.0,0.0,30.0
1282,2020-04-02,Virginia,1706,41.0,0.0,1665.0
1283,2020-04-02,Washington,6389,271.0,0.0,6118.0
1284,2020-04-02,West Virginia,216,2.0,0.0,214.0
1285,2020-04-02,Wisconsin,1748,38.0,0.0,1710.0
1286,2020-04-02,Wyoming,150,0.0,0.0,150.0
1287,2020-04-03,Alabama,1495,38.0,0.0,1457.0
1288,2020-04-03,Alaska,157,3.0,0.0,154.0
