date,Max,Avg,Min,State
2020/5/3,93,79.7,69,Texas
2020/5/3,84,69.7,61,Tennessee
2020/5/3,75,61.4,44,South Dakota
2020/5/3,88,73.7,58,South Carolina
2020/5/3,71,62.5,54,Rhode Island
2020/5/3,75,65,53,Pennsylvania
2020/5/4,88,74.7,61,Alabama
2020/5/4,57,48.9,40,Alaska
2020/5/4,98,85.3,70,Arizona 
2020/5/4,84,73.4,66, Arkansas
2020/5/4,83,65.5,45,California
2020/5/4,68,55.4,36,Colorado
2020/5/4,69,58.9,47,Connecticut 
2020/5/4,74,64.2,49,Delaware
2020/5/4,89,70.1,55,Florida
2020/5/4,84,74.6,61,Georgia
2020/5/4,86,78.9,74,Hawaii
2020/5/4,68,54.3,37,Idaho
2020/5/4,59,53,47,Illinois
2020/5/4,65,56.9,45,Indiana
2020/5/4,61,53.3,48,Iowa
2020/5/4,61,56.1,52,Kansas
2020/5/4,72,60.9,47,Kentucky
2020/5/4,86,73.7,65,Louisiana
2020/5/4,61,51.4,44,Maine
2020/5/4,73,65.4,54,Maryland
2020/5/4,68,60.8,49,Massachusetts
2020/5/4,57,46.8,37,Michigan
2020/5/4,59,51,41,Minnesota
2020/5/4,84,71.4,62,Mississippi 
2020/5/4,67,56.9,51,Missouri
2020/5/4,60,48.9,37,Montana
2020/5/4,63,57.2,52,Nebraska 
2020/5/4,73,57,39,Nevada
2020/5/4,67,60,49,New Hampshire
2020/5/4,70,61.6,50,New Jersey
2020/5/4,81,66.3,48,New Mexico
2020/5/4,71,62.5,51,New York
2020/5/4,80,71.3,59,North Carolina
2020/5/4,49,45.4,42,North Dakota
2020/5/4,63,55,46,Ohio
2020/5/4,94,76.9,68,Oklahoma
2020/5/4,68,51.7,37,Oregon
2020/5/4,56,46.5,35,Wyoming
2020/5/4,55,45.1,36,Wisconsin
2020/5/4,72,62.3,52,West Virginia
2020/5/4,65,53.6,39,Washington
2020/5/4,80,70.8,58,Virginia
2020/5/4,58,49.4,45,Vermont
2020/5/4,65,56.1,45,Utah
2020/5/4,95,80,72,Texas
2020/5/4,79,68.9,61,Tennessee
2020/5/4,55,47.6,43,South Dakota
2020/5/4,88,77.8,66,South Carolina
2020/5/4,74,61.6,50,Rhode Island
2020/5/4,68,61.6,51,Pennsylvania
2020/5/5,86,75.3,64,Alabama
2020/5/5,54,45.3,35,Alaska
2020/5/5,101,88.4,74,Arizona 
2020/5/5,75,68.9,58, Arkansas
2020/5/5,86,68,52,California
2020/5/5,69,53.1,30,Colorado
2020/5/5,59,49.3,40,Connecticut 
2020/5/5,59,53.6,45,Delaware
2020/5/5,90,73,61,Florida
2020/5/5,84,74.5,66,Georgia
2020/5/5,85,78.6,74,Hawaii
2020/5/5,81,66,48,Idaho
2020/5/5,52,46.9,43,Illinois
2020/5/5,58,48.4,40,Indiana
2020/5/5,50,47,45,Iowa
2020/5/5,72,60.4,50,Kansas
2020/5/5,57,50,46,Kentucky
2020/5/5,87,75.6,67,Louisiana
2020/5/5,51,46,42,Maine
2020/5/5,59,53.8,43,Maryland
2020/5/5,58,50.5,45,Massachusetts
2020/5/5,52,44.5,38,Michigan
2020/5/5,58,53.1,47,Minnesota
2020/5/5,82,72.3,64,Mississippi 
2020/5/5,70,56.3,50,Missouri
2020/5/5,69,52.9,34,Montana
2020/5/5,69,57.5,47,Nebraska 
2020/5/5,80,62,42,Nevada
2020/5/5,57,49.7,44,New Hampshire
2020/5/5,58,51.3,45,New Jersey
2020/5/5,75,60.1,48,New Mexico
2020/5/5,63,54.7,47,New York
2020/5/5,70,61.9,54,North Carolina
2020/5/5,55,46.7,42,North Dakota
2020/5/5,54,46.8,41,Ohio
2020/5/5,75,65.4,56,Oklahoma
2020/5/5,70,54.8,46,Oregon
2020/5/5,63,47.8,31,Wyoming
2020/5/5,52,45.3,40,Wisconsin
2020/5/5,56,52.2,47,West Virginia
2020/5/5,70,59.1,49,Washington
2020/5/5,58,54.6,50,Virginia
2020/5/5,53,44.5,37,Vermont
2020/5/5,75,61.1,46,Utah
2020/5/5,84,76.1,72,Texas
2020/5/5,73,65.4,51,Tennessee
2020/5/5,56,46.5,37,South Dakota
2020/5/5,88,76.5,67,South Carolina
2020/5/5,61,52.1,44,Rhode Island
2020/5/5,55,50.9,45,Pennsylvania
2020/5/6,81,69.9,55,Alabama
2020/5/6,57,46.3,33,Alaska
2020/5/6,105,90.8,74,Arizona 
2020/5/6,74,62.5,50, Arkansas
2020/5/6,85,68.1,50,California
2020/5/6,72,55.9,32,Colorado
2020/5/6,57,46.7,34,Connecticut 
2020/5/6,54,49.6,46,Delaware
2020/5/6,84,74.3,65,Florida
2020/5/6,73,62.4,50,Georgia
2020/5/6,86,78.4,73,Hawaii
2020/5/6,72,58.5,48,Idaho
2020/5/6,62,50.1,40,Illinois
2020/5/6,60,48.9,39,Indiana
2020/5/6,60,49.9,43,Iowa
2020/5/6,64,55.4,45,Kansas
2020/5/6,57,45.8,41,Kentucky
2020/5/6,83,73.6,62,Louisiana
2020/5/6,57,47.4,36,Maine
2020/5/6,53,49.9,46,Maryland
2020/5/6,51,46.1,41,Massachusetts
2020/5/6,61,48.1,34,Michigan
2020/5/6,65,56.9,48,Minnesota
2020/5/6,78,67.5,53,Mississippi 
2020/5/6,61,52.3,45,Missouri
2020/5/6,65,48.3,42,Montana
2020/5/6,62,51.9,43,Nebraska 
2020/5/6,73,61.1,48,Nevada
2020/5/6,59,49.3,36,New Hampshire
2020/5/6,53,47.7,43,New Jersey
2020/5/6,80,62.5,40,New Mexico
2020/5/6,52,49.4,47,New York
2020/5/6,71,60.2,50,North Carolina
2020/5/6,68,53.5,37,North Dakota
2020/5/6,57,45,39,Ohio
2020/5/6,75,63.5,52,Oklahoma
2020/5/6,64,53.2,46,Oregon
2020/5/6,64,49,30,Wyoming
2020/5/6,64,51.3,33,Wisconsin
2020/5/6,52,45.8,41,West Virginia
2020/5/6,62,53.8,48,Washington
2020/5/6,67,55.5,50,Virginia
2020/5/6,58,47.9,34,Vermont
2020/5/6,79,66.4,53,Utah
2020/5/6,85,72.9,59,Texas
2020/5/6,61,53.3,49,Tennessee
2020/5/6,62,49.2,36,South Dakota
2020/5/6,77,68.7,56,South Carolina
2020/5/6,56,47.5,40,Rhode Island
2020/5/6,51,48.2,45,Pennsylvania
2020/5/7,73,59.7,43,Alabama
2020/5/7,59,50.7,42,Alaska
2020/5/7,105,90.8,73,Arizona 
2020/5/7,73,61.1,49, Arkansas
2020/5/7,92,74.7,55,California
2020/5/7,71,57.5,40,Colorado
2020/5/7,65,50.1,37,Connecticut 
2020/5/7,64,52.6,0,Delaware
2020/5/7,74,63.1,51,Florida
2020/5/7,69,57.5,45,Georgia
2020/5/7,83,76.3,70,Hawaii
2020/5/7,65,52,37,Idaho
2020/5/7,67,56.6,43,Illinois
2020/5/7,68,54.8,41,Indiana
2020/5/7,63,53,43,Iowa
2020/5/7,57,50.7,39,Kansas
2020/5/7,65,52.1,37,Kentucky
2020/5/7,80,67.3,54,Louisiana
2020/5/7,60,48.8,41,Maine
2020/5/7,67,55.4,41,Maryland
2020/5/7,63,52.8,42,Massachusetts
2020/5/7,61,50.2,39,Michigan
2020/5/7,60,51.9,44,Minnesota
2020/5/7,77,61.8,46,Mississippi 
2020/5/7,67,56.4,45,Missouri
2020/5/7,56,46.7,40,Montana
2020/5/7,61,49.4,37,Nebraska 
2020/5/7,75,60.1,43,Nevada
2020/5/7,64,55.4,43,New Hampshire
2020/5/7,64,52,0,New Jersey
2020/5/7,84,70.4,50,New Mexico
2020/5/7,67,57.8,49,New York
2020/5/7,66,54.7,42,North Carolina
2020/5/7,55,47.7,37,North Dakota
2020/5/7,66,52.8,35,Ohio
2020/5/7,77,66.2,54,Oklahoma
2020/5/7,74,57,39,Oregon
2020/5/7,60,46.6,35,Wyoming
2020/5/7,62,53.4,43,Wisconsin
2020/5/7,66,49.9,34,West Virginia
2020/5/7,67,56.2,45,Washington
2020/5/7,67,55.4,44,Virginia
2020/5/7,62,49,34,Vermont
2020/5/7,61,53.3,42,Utah
2020/5/7,83,70.8,52,Texas
2020/5/7,70,57.8,44,Tennessee
2020/5/7,48,45.2,38,South Dakota
2020/5/7,69,57.5,43,South Carolina
2020/5/7,64,52.5,40,Rhode Island
2020/5/7,65,54.5,42,Pennsylvania
2020/5/8,74,63.6,49,Alabama
2020/5/8,65,51.5,39,Alaska
2020/5/8,104,91.1,75,Arizona 
2020/5/8,70,61,52, Arkansas
2020/5/8,94,75.3,55,California
2020/5/8,63,44.5,34,Colorado
2020/5/8,56,47,41,Connecticut 
2020/5/8,54,50.7,40,Delaware
2020/5/8,80,64.8,45,Florida
2020/5/8,63,58.2,51,Georgia
2020/5/8,82,75.9,70,Hawaii
2020/5/8,73,58.9,43,Idaho
2020/5/8,55,50.2,39,Illinois
2020/5/8,55,48.6,36,Indiana
2020/5/8,57,49,41,Iowa
2020/5/8,60,51.5,42,Kansas
2020/5/8,52,48.1,38,Kentucky
